param n:= 10;
param L:= 1;

param alfa :=
1 0.2
;

param a :=
1         96167740070
2         90901187292
3        144098750901
4        100858633155
5        118336648863
6         96559150835
7        418597605135
8        292279854599
9        161831506495
10        251832772338 ;


param w: 1 2 3 4 5 6 7 8 9 10 :=
1                   0              369922              545037              192699              200935              176508              567702              170805              188311              163857
2              257936                   0              249978              265762              182892              231687              381618              204121              124827              165975
3              668125              393153                   0              224085              242028              205144              705582              202420              229996              194240
4              173291              331196              187611                   0              163616              229295              401610              231462              114204              186702
5              174854              251370              211827              190930                   0              183063              734097              200876              238895              194343
6              116071              184419              121683              161154              111170                   0              371668              218289               95563              180663
7              823726              775351              904492              677919              950579              726356                   0              988266             1100066             1103684
8              351431              417345              362994              484152              357110              575781             1733731                   0              412263              918253
9              121962              118995              153452              102390              189358              111586              678751              150642                   0              203725
10              217176              249639              228069              277902              230836              328916             1090983              508465              302472                   0;


param c: 1 2 3 4 5 6 7 8 9 10 :=
1                   0               19961               15695               23247               23046               30371               31577               32743               35819               36032
2               19961                   0               20191               12595               24553               18813               29874               25425               38247               30557
3               15695               20191                   0               13742                7366               18671               15890               18296               20875               20739
4               23247               12595               13742                   0               14466                7400               17776               12874               26799               17962
5               23046               24553                7366               14466                   0               16356                8627               13047               14115               14158
6               30371               18813               18671                7400               16356                   0               15746                7942               25355               13245
7               31577               29874               15890               17776                8627               15746                   0                8784                9609                6701
8               32743               25425               18296               12874               13047                7942                8784                   0               18158                5353
9               35819               38247               20875               26799               14115               25355                9609               18158                   0               14475
10              36032               30557               20739               17962               14158               13245                6701                5353               14475                   0;



